# in Mpc/h Units 
# D1 = 1 
# k P N P(z=0)
0.0125664 18260 6 18260
0.0177715 15196.1 12 15196.1
0.0217656 8765.76 8 8765.76
0.0251327 33564.9 6 33564.9
0.0280993 14823.6 24 14823.6
0.0307812 18988.7 24 18988.7
0.0355431 20598 12 20598
0.0376991 13826.5 30 13826.5
0.0397384 13193.2 24 13193.2
0.0416779 7218.63 24 7218.63
0.0435312 15474.2 8 15474.2
0.0453087 13323.6 24 13323.6
0.0470191 17149.6 48 17149.6
0.0502655 19887.9 6 19887.9
0.0518125 15034.9 48 15034.9
0.0533146 9953.65 36 9953.65
0.0547755 12038.9 24 12038.9
0.0561985 9055.86 24 9055.86
0.0575863 8352.22 48 8352.22
0.0589415 7974.58 24 7974.58
0.0615624 8431.13 24 8431.13
0.0628319 11312 30 11312
0.0640762 14416.8 72 14416.8
0.0652968 8820.46 32 8820.46
0.067672 11567.4 72 11567.4
0.0688288 8270.44 48 8270.44
0.0710861 17414.8 12 17414.8
0.0721883 7087.01 48 7087.01
0.0732739 6931.66 48 6931.66
0.0743437 9573.7 48 9573.7
0.0753982 14722.5 30 14722.5
0.0764382 11211.6 24 11211.6
0.0774643 8666.01 72 8666.01
0.0794767 13958.5 24 13958.5
0.080464 6785.25 96 6785.25
0.0814394 11275.8 48 11275.8
0.0824032 8860.09 24 8860.09
0.0833559 5965.77 24 5965.77
0.0842978 6170.51 72 6170.51
0.0852293 6077.7 48 6077.7
0.0870624 5673.67 8 5673.67
0.0879646 7180 54 7180
0.0888577 6416.64 84 6416.64
0.0897418 5780.01 48 5780.01
0.0906174 7893.45 24 7893.45
0.0914846 6569.34 72 6569.34
0.0923436 5506.57 96 5506.57
0.0940381 8154.49 48 8154.49
0.094874 8880.59 48 8880.59
0.0957026 5954.47 24 5954.47
0.0965241 6063.75 72 6063.75
0.0981465 4834.81 72 4834.81
0.0989477 5355.04 96 5355.04
0.100531 4904.87 6 4904.87
0.101313 4997.84 96 4997.84
0.10209 5019.19 96 5019.19
0.10286 2968.1 24 2968.1
0.103625 6173.9 48 6173.9
0.104384 5367.84 96 5367.84
0.105138 4401.4 48 4401.4
0.106629 5846.58 36 5846.58
0.107367 4873.71 48 4873.71
0.1081 4969.59 120 4969.59
0.108828 4444.84 56 4444.84
0.109551 4085.32 24 4085.32
0.110269 3743.83 96 3743.83
0.110983 6432.7 48 6432.7
0.112397 2967.16 24 2967.16
0.113097 4778.88 102 4778.88
0.113793 5563.79 48 5563.79
0.114485 5332.28 72 5332.28
0.115173 4583.31 48 4583.31
0.115856 4899.35 48 4899.35
0.116536 4721.57 120 4721.57
0.117883 5623.75 24 5623.75
0.118551 4592.49 144 4592.49
0.119215 4549.15 120 4549.15
0.119876 3557.24 48 3557.24
0.121186 5514.38 48 5514.38
0.121835 4872.27 96 4872.27
0.123125 3369.88 24 3369.88
0.123764 4663.73 48 4663.73
0.124401 3967.81 108 3967.81
0.125034 3740.6 72 3740.6
0.125664 3998.19 30 3998.19
0.12629 5647.7 168 5647.7
0.126914 3198.3 48 3198.3
0.128152 5139.47 72 5139.47
0.128767 3727.42 96 3727.42
0.129379 5224.48 72 5224.48
0.129988 4565.81 72 4565.81
0.130594 4620.98 32 4620.98
0.131197 4926.84 72 4926.84
0.131797 4245.86 144 4245.86
0.133582 4820.43 96 4820.43
0.134172 4605.58 96 4605.58
0.134759 4186.9 48 4186.9
0.135344 3735.47 72 3735.47
0.135926 4080.41 120 4080.41
0.136506 4699.14 72 4699.14
0.137658 2439.31 48 2439.31
0.13823 3887.48 78 3887.48
0.1388 3828.55 120 3828.55
0.139368 3848.66 48 3848.66
0.140496 3088.63 144 3088.63
0.141057 3103.02 144 3103.02
0.142172 4317.25 12 4317.25
0.142727 3693.41 144 3693.41
0.143279 3504.16 48 3504.16
0.143829 4018.64 120 4018.64
0.144377 2766.09 48 2766.09
0.144922 4454.21 48 4454.21
0.145466 4234.65 168 4234.65
0.146548 4049.13 48 4049.13
0.147086 3326.75 96 3326.75
0.147621 2977.84 96 2977.84
0.148155 4351.86 72 4351.86
0.148687 3569.83 48 3569.83
0.149217 2465.48 96 2465.48
0.149746 2844.24 48 2844.24
0.150796 4740.84 30 4740.84
0.151319 3952.59 96 3952.59
0.15184 3777.74 192 3777.74
0.152359 2171.45 56 2171.45
0.152876 3266.85 24 3266.85
0.153392 3414.32 168 3414.32
0.153906 3346.6 120 3346.6
0.154929 3019.04 72 3019.04
0.155437 4021.21 144 4021.21
0.155945 3241.72 96 3241.72
0.15645 3765.58 96 3765.58
0.157456 3687.23 72 3687.23
0.157957 3172.58 96 3172.58
0.158953 4189.6 24 4189.6
0.159449 2723.46 192 2723.46
0.159944 3512.96 108 3512.96
0.160437 3690.91 24 3690.91
0.160928 3071.61 96 3071.61
0.161418 3746.7 96 3746.7
0.161906 2919.63 120 2919.63
0.162879 2498.39 48 2498.39
0.163363 3355.86 78 3355.86
0.163845 2464.77 144 2464.77
0.164327 2647.8 120 2647.8
0.164806 2905.75 24 2905.75
0.165285 3318.42 168 3318.42
0.165762 2884.84 144 2884.84
0.166712 3986.63 24 3986.63
0.167185 3226.25 48 3226.25
0.167656 2149.3 96 2149.3
0.168127 2668.57 120 2668.57
0.168596 2591.39 72 2591.39
0.169063 2863.29 120 2863.29
0.16953 3029.1 144 3029.1
0.170459 2954.32 48 2954.32
0.170921 2986.04 192 2986.04
0.171382 3064.48 144 3064.48
0.171843 2542.15 48 2542.15
0.172759 2588.6 192 2588.6
0.173215 2488.96 48 2488.96
0.174125 1813.9 8 1813.9
0.174578 3540.66 48 3540.66
0.175029 2415.48 240 2415.48
0.17548 3021.12 96 3021.12
0.175929 2784.09 54 2784.09
0.176377 2638.08 120 2638.08
0.176825 2252.19 120 2252.19
0.177715 3223.04 84 3223.04
0.178159 2516.48 144 2516.48
0.178602 2761.44 72 2761.44
0.179043 3223.61 96 3223.61
0.179484 2871.5 48 2871.5
0.179923 2768.56 96 2768.56
0.180361 2616.85 240 2616.85
0.181235 3183.9 24 3183.9
0.18167 2768.33 240 2768.33
0.182104 2030.13 96 2030.13
0.182537 2125.47 72 2125.47
0.182969 2536.11 72 2536.11
0.1834 2195.56 96 2195.56
0.18383 2538.83 72 2538.83
0.184687 2409.49 96 2409.49
0.185114 2700.63 96 2700.63
0.18554 2298.9 120 2298.9
0.185965 2249.38 96 2249.38
0.186813 2457.28 192 2457.28
0.187235 2776.74 144 2776.74
0.188076 3158.97 48 3158.97
0.188496 2582.89 150 2582.89
0.188914 2156.1 96 2156.1
0.189331 2788.95 120 2788.95
0.189748 2769.55 48 2769.55
0.190164 2278.21 120 2278.21
0.190578 2394.78 240 2394.78
0.191405 2869.22 24 2869.22
0.191817 2096.3 144 2096.3
0.192229 2077.45 216 2077.45
0.192639 3305.27 48 3305.27
0.193048 2061.59 72 2061.59
0.193457 2012.7 144 2012.7
0.193865 2532.38 96 2532.38
0.195083 2400.07 144 2400.07
0.195487 2272.27 132 2272.27
0.19589 2875.29 104 2875.29
0.196293 1767.38 72 1767.38
0.196695 2655.91 168 2655.91
0.197096 2094.65 144 2094.65
0.197895 2774.28 96 2774.28
0.198294 2402.1 144 2402.1
0.198692 2445.7 144 2445.7
0.199089 2316.26 168 2316.26
0.19988 2524.01 48 2524.01
0.200275 2339.02 192 2339.02
0.201062 5022.37 6 5022.37
0.201454 2847.81 192 2847.81
0.201846 2239.62 96 2239.62
0.202237 1875.47 96 1875.47
0.202627 2218.13 96 2218.13
0.203016 2360.38 216 2360.38
0.203404 2848.37 72 2848.37
0.204179 2279.6 96 2279.6
0.204566 2121.09 96 2121.09
0.204951 2223.4 240 2223.4
0.205336 1761.77 48 1761.77
0.20572 1797.96 24 1797.96
0.206104 2514.82 264 2514.82
0.206487 2404.67 192 2404.67
0.20725 2892.21 48 2892.21
0.207631 2000.78 96 2000.78
0.20801 2377.18 144 2377.18
0.20839 2654.27 120 2654.27
0.208768 2048.49 96 2048.49
0.209146 2491.59 72 2491.59
0.209523 2408.11 168 2408.11
0.210276 2347.03 48 2347.03
0.210651 2318.43 240 2318.43
0.211025 2198.45 96 2198.45
0.211399 2432.7 72 2432.7
0.212145 2185.78 192 2185.78
0.212517 1922.54 144 1922.54
0.213258 1593.92 36 1593.92
0.213628 2199.4 102 2199.4
0.213998 2067.83 240 2067.83
0.214366 1700.78 96 1700.78
0.214734 1914.99 48 1914.99
0.215102 1815.66 216 1815.66
0.215468 1937.5 168 1937.5
0.2162 2067.07 120 2067.07
0.216565 2489.02 192 2489.02
0.216929 2522.62 72 2522.62
0.217293 2137 192 2137
0.217656 1847.78 56 1847.78
0.218018 2541.22 96 2541.22
0.21838 1733.72 144 1733.72
0.219102 2564.69 24 2564.69
0.219462 2143.29 192 2143.29
0.219822 2040.45 240 2040.45
0.220181 2564.98 72 2564.98
0.220539 2276.67 96 2276.67
0.220897 1731.4 144 1731.4
0.221254 2032.3 96 2032.3
0.221966 2140.93 48 2140.93
0.222322 2122.75 96 2122.75
0.222677 1673.17 312 1673.17
0.223031 1842.95 144 1842.95
0.223738 1805.6 120 1805.6
0.22409 1625.04 144 1625.04
0.224794 2186.4 24 2186.4
0.225145 2140.59 240 2140.59
0.225495 2064.67 96 2064.67
0.225845 1827.05 96 1827.05
0.226195 1686.8 102 1686.8
0.226543 2113.44 168 2113.44
0.226892 1749.34 264 1749.34
0.227587 2351.98 48 2351.98
0.227933 2035.23 288 2035.23
0.228279 2479.02 96 2479.02
0.228625 2345.94 72 2345.94
0.22897 2215.45 72 2215.45
0.229315 1913.97 120 1913.97
0.229659 1464.84 144 1464.84
0.230345 1757.41 48 1757.41
0.230688 1699.43 96 1699.43
0.23103 1959.11 180 1959.11
0.231371 1735.15 144 1735.15
0.231712 2226.71 48 2226.71
0.232053 1773.18 336 1773.18
0.232393 1846.22 216 1846.22
0.233071 1933.45 120 1933.45
0.23341 1385.95 96 1385.95
0.233748 2414.72 120 2414.72
0.234086 1887.51 120 1887.51
0.234759 1974.03 168 1974.03
0.235095 1843.4 240 1843.4
0.235766 1839.67 24 1839.67
0.236101 1775.24 192 1775.24
0.236435 1705.02 192 1705.02
0.236769 2234.31 96 2234.31
0.237102 1866.03 144 1866.03
0.237435 2083.62 96 2083.62
0.237767 1803.99 72 1803.99
0.23843 1541.99 120 1541.99
0.238761 2185.93 126 2185.93
0.239092 1594.43 216 1594.43
0.239422 1883.89 104 1883.89
0.239751 1376.78 48 1376.78
0.24008 2076.37 240 2076.37
0.240409 1941.87 144 1941.87
0.241392 1623.81 288 1623.81
0.241719 1569.94 144 1569.94
0.242045 1857.34 192 1857.34
0.242604 1908.76 168 1908.76
0.243022 1662.26 336 1662.26
0.243671 1777.95 96 1777.95
0.243995 1886.92 192 1886.92
0.244318 1894.33 192 1894.33
0.244641 2003.19 72 2003.19
0.245286 1611.09 240 1611.09
0.245607 1741.96 96 1741.96
0.24625 1374.22 24 1374.22
0.24657 1687.27 96 1687.27
0.24689 1786.54 240 1786.54
0.24721 1574.85 120 1574.85
0.247529 1742.4 48 1742.4
0.247982 1916.16 456 1916.16
0.248801 1519.58 108 1519.58
0.249119 2027.84 144 2027.84
0.249435 1534.71 120 1534.71
0.249752 1857.81 192 1857.81
0.250068 1106.39 72 1106.39
0.250383 1517.5 72 1517.5
0.250698 1833.88 240 1833.88
0.251327 3241.52 30 3241.52
0.251641 1454.68 240 1454.68
0.251955 1895.55 192 1895.55
0.252268 2226.75 48 2226.75
0.252581 1511.01 168 1511.01
0.252893 1568.35 216 1568.35
0.253205 1664.37 192 1664.37
0.254077 1634.56 240 1634.56
0.25445 1463.42 192 1463.42
0.25476 1329.27 144 1329.27
0.255379 1689.18 240 1689.18
0.255688 1630.24 240 1630.24
0.25651 1623.74 216 1623.74
0.25692 2001.72 96 2001.72
0.257227 1557.21 216 1557.21
0.257534 1556 96 1556
0.25784 1969.24 120 1969.24
0.258146 1625.76 120 1625.76
0.258757 1515.81 72 1515.81
0.259062 1574.51 336 1574.51
0.259367 1491.97 288 1491.97
0.259671 1925.8 48 1925.8
0.259975 1364.86 72 1364.86
0.260409 1648.98 336 1648.98
0.261187 1674.14 32 1674.14
0.261489 1657.55 144 1657.55
0.261791 1552.69 288 1552.69
0.262221 1577.74 168 1577.74
0.262694 1430.9 240 1430.9
0.262995 1358.12 96 1358.12
0.26379 1512.72 414 1512.72
0.264193 1970.74 96 1970.74
0.264492 1570.67 120 1570.67
0.265326 1753.06 480 1753.06
0.266277 1422.35 240 1422.35
0.266681 1582.99 396 1582.99
0.267165 1916.7 96 1916.7
0.26746 1743.45 144 1743.45
0.267755 1451.69 168 1451.69
0.268344 2124.62 96 2124.62
0.268638 1745.69 96 1745.69
0.268932 1541.48 312 1541.48
0.269226 1638.51 192 1638.51
0.269777 1618.42 408 1618.42
0.270104 2013.33 96 2013.33
0.2709 1739.93 264 1739.93
0.271271 1510.46 96 1510.46
0.271562 1520.73 168 1520.73
0.272031 1646.33 312 1646.33
0.272432 1410.53 240 1410.53
0.273011 1523.38 72 1523.38
0.273481 1604.75 384 1604.75
0.273878 1114.44 120 1114.44
0.274542 1514.7 312 1514.7
0.275315 1655.24 48 1655.24
0.275761 1836.65 432 1836.65
0.276174 1533.36 96 1533.36
0.276676 1531.18 318 1531.18
0.277031 1447.92 312 1447.92
0.27779 1650.81 360 1650.81
0.278168 1622.08 168 1622.08
0.278452 1432.56 216 1432.56
0.278948 1564.07 192 1564.07
0.279302 1521.67 336 1521.67
0.280148 1577.58 288 1577.58
0.28043 1373.54 96 1373.54
0.280899 1652.46 216 1652.46
0.281273 1451.08 192 1451.08
0.281554 1186.22 168 1186.22
0.282114 1385.95 144 1385.95
0.282394 1731.5 96 1731.5
0.28274 1441.29 440 1441.29
0.283607 1576.44 552 1576.44
0.284345 1389.42 12 1389.42
0.284761 1529 384 1529
0.285176 1829.73 144 1829.73
0.285591 1333.46 288 1333.46
0.286006 1476.46 192 1476.46
0.286557 1301.46 48 1301.46
0.286833 1507.85 384 1507.85
0.287245 1444.06 240 1444.06
0.287657 1723.47 120 1723.47
0.287932 1106.94 240 1106.94
0.288206 1237.14 144 1237.14
0.288753 1701.33 48 1701.33
0.289215 1447.49 486 1447.49
0.289572 1394.55 216 1394.55
0.290049 1218.05 192 1218.05
0.290389 1431.51 240 1431.51
0.290933 1319.62 168 1319.62
0.291204 1596.42 144 1596.42
0.291649 1434.03 336 1434.03
0.292477 1460.02 408 1460.02
0.293335 1555.61 432 1555.61
0.293634 1408.15 288 1408.15
0.294056 1323.76 168 1323.76
0.294439 1420.66 360 1420.66
0.294708 1133.15 168 1133.15
0.295377 1523.83 192 1523.83
0.295777 1300.6 264 1300.6
0.296158 1706.08 168 1706.08
0.296577 1412.01 216 1412.01
0.296843 1382.64 288 1382.64
0.297375 1439.96 48 1439.96
