#           k/h    P           
    0.35185E-05    0.15181E-01
    0.35539E-05    0.15329E-01
    0.35896E-05    0.15478E-01
    0.36257E-05    0.15628E-01
    0.36621E-05    0.15780E-01
    0.36989E-05    0.15933E-01
    0.37361E-05    0.16088E-01
    0.37736E-05    0.16244E-01
    0.38115E-05    0.16402E-01
    0.38499E-05    0.16561E-01
    0.38885E-05    0.16722E-01
    0.39276E-05    0.16885E-01
    0.39671E-05    0.17049E-01
    0.40070E-05    0.17214E-01
    0.40472E-05    0.17382E-01
    0.40879E-05    0.17550E-01
    0.41290E-05    0.17721E-01
    0.41705E-05    0.17893E-01
    0.42124E-05    0.18067E-01
    0.42547E-05    0.18242E-01
    0.42975E-05    0.18420E-01
    0.43407E-05    0.18598E-01
    0.43843E-05    0.18779E-01
    0.44284E-05    0.18962E-01
    0.44729E-05    0.19146E-01
    0.45178E-05    0.19332E-01
    0.45632E-05    0.19519E-01
    0.46091E-05    0.19709E-01
    0.46554E-05    0.19901E-01
    0.47022E-05    0.20094E-01
    0.47495E-05    0.20289E-01
    0.47972E-05    0.20486E-01
    0.48454E-05    0.20685E-01
    0.48941E-05    0.20886E-01
    0.49433E-05    0.21089E-01
    0.49930E-05    0.21294E-01
    0.50432E-05    0.21501E-01
    0.50939E-05    0.21710E-01
    0.51450E-05    0.21920E-01
    0.51968E-05    0.22133E-01
    0.52490E-05    0.22348E-01
    0.53017E-05    0.22565E-01
    0.53550E-05    0.22785E-01
    0.54088E-05    0.23006E-01
    0.54632E-05    0.23229E-01
    0.55181E-05    0.23455E-01
    0.55736E-05    0.23683E-01
    0.56296E-05    0.23913E-01
    0.56862E-05    0.24145E-01
    0.57433E-05    0.24380E-01
    0.58010E-05    0.24617E-01
    0.58593E-05    0.24856E-01
    0.59182E-05    0.25097E-01
    0.59777E-05    0.25341E-01
    0.60378E-05    0.25587E-01
    0.60984E-05    0.25836E-01
    0.61597E-05    0.26087E-01
    0.62216E-05    0.26340E-01
    0.62842E-05    0.26596E-01
    0.63473E-05    0.26854E-01
    0.64111E-05    0.27115E-01
    0.64756E-05    0.27379E-01
    0.65406E-05    0.27644E-01
    0.66064E-05    0.27913E-01
    0.66728E-05    0.28184E-01
    0.67398E-05    0.28458E-01
    0.68076E-05    0.28734E-01
    0.68760E-05    0.29013E-01
    0.69451E-05    0.29295E-01
    0.70149E-05    0.29580E-01
    0.70854E-05    0.29867E-01
    0.71566E-05    0.30157E-01
    0.72285E-05    0.30450E-01
    0.73012E-05    0.30746E-01
    0.73745E-05    0.31045E-01
    0.74487E-05    0.31346E-01
    0.75235E-05    0.31651E-01
    0.75991E-05    0.31958E-01
    0.76755E-05    0.32269E-01
    0.77526E-05    0.32582E-01
    0.78306E-05    0.32899E-01
    0.79093E-05    0.33218E-01
    0.79888E-05    0.33541E-01
    0.80690E-05    0.33867E-01
    0.81501E-05    0.34196E-01
    0.82320E-05    0.34528E-01
    0.83148E-05    0.34863E-01
    0.83983E-05    0.35202E-01
    0.84827E-05    0.35544E-01
    0.85680E-05    0.35889E-01
    0.86541E-05    0.36238E-01
    0.87411E-05    0.36590E-01
    0.88289E-05    0.36945E-01
    0.89177E-05    0.37304E-01
