#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.351850E-05   0.631556E+07   0.631556E+07   0.842060E+07   0.842060E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596585E+00   0.619745E+07   0.619745E+07   0.722525E-02
   0.355386E-05   0.631556E+07   0.631556E+07   0.842060E+07   0.842060E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596585E+00   0.619745E+07   0.619745E+07   0.729786E-02
   0.358958E-05   0.631556E+07   0.631556E+07   0.842060E+07   0.842060E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596585E+00   0.619745E+07   0.619745E+07   0.737121E-02
   0.362565E-05   0.631556E+07   0.631556E+07   0.842060E+07   0.842060E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596585E+00   0.619745E+07   0.619745E+07   0.744529E-02
   0.366209E-05   0.631556E+07   0.631556E+07   0.842059E+07   0.842059E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596585E+00   0.619745E+07   0.619745E+07   0.752012E-02
   0.369890E-05   0.631556E+07   0.631556E+07   0.842059E+07   0.842059E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596585E+00   0.619745E+07   0.619745E+07   0.759569E-02
   0.373607E-05   0.631556E+07   0.631556E+07   0.842059E+07   0.842059E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596585E+00   0.619745E+07   0.619745E+07   0.767203E-02
   0.377362E-05   0.631556E+07   0.631556E+07   0.842058E+07   0.842058E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596585E+00   0.619745E+07   0.619745E+07   0.774914E-02
   0.381154E-05   0.631556E+07   0.631556E+07   0.842058E+07   0.842058E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596585E+00   0.619745E+07   0.619745E+07   0.782702E-02
   0.384985E-05   0.631556E+07   0.631556E+07   0.842058E+07   0.842058E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596585E+00   0.619745E+07   0.619745E+07   0.790568E-02
   0.388854E-05   0.631556E+07   0.631556E+07   0.842057E+07   0.842057E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596585E+00   0.619745E+07   0.619745E+07   0.798513E-02
   0.392762E-05   0.631556E+07   0.631556E+07   0.842057E+07   0.842057E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596585E+00   0.619745E+07   0.619745E+07   0.806538E-02
   0.396710E-05   0.631556E+07   0.631556E+07   0.842057E+07   0.842056E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596585E+00   0.619745E+07   0.619745E+07   0.814644E-02
   0.400697E-05   0.631556E+07   0.631556E+07   0.842056E+07   0.842056E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596585E+00   0.619745E+07   0.619745E+07   0.822832E-02
   0.404724E-05   0.631556E+07   0.631556E+07   0.842056E+07   0.842056E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596585E+00   0.619745E+07   0.619745E+07   0.831101E-02
   0.408791E-05   0.631556E+07   0.631556E+07   0.842055E+07   0.842055E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596585E+00   0.619745E+07   0.619745E+07   0.839454E-02
