# in Mpc/h Units 
# D1 = 0.0251561 
# k P N P(z=0)
1.5708 0.00669826 6 10.5846
2.22144 0.00804936 12 12.7196
2.7207 0.00990489 8 15.6517
3.14159 0.00153966 6 2.43298
3.51241 0.00182116 24 2.8778
3.84765 0.00128639 24 2.03276
4.44288 0.00100652 12 1.59051
4.71239 0.698466 30 1103.72
4.96729 0.000628019 24 0.992396
5.20974 0.00151577 24 2.39522
5.4414 0.00268534 8 4.24339
5.66359 0.000499385 24 0.789129
5.87738 0.00180742 48 2.8561
6.28319 0.000661606 6 1.04547
6.55703 0.00106964 84 1.69025
6.84694 0.0014697 24 2.32242
7.02481 0.000376377 24 0.594751
7.25476 0.000576764 72 0.911404
7.6953 0.000337465 24 0.533263
7.96377 0.000603603 102 0.953814
8.1621 0.000304509 32 0.481186
8.51684 0.000364185 120 0.575486
8.88577 0.00017275 12 0.27298
9.15858 0.000273066 144 0.431499
9.48256 0.268527 54 424.327
9.74593 0.000300753 96 0.47525
10.1275 0.000495228 168 0.782559
10.5564 0.000723719 144 1.14362
11.0536 0.000696768 146 1.10103
11.4241 0.0004018 240 0.634924
11.9234 0.000303875 192 0.480184
12.3255 0.000212784 168 0.336242
12.7651 0.000370562 270 0.585563
13.1907 0.000233332 228 0.368711
13.6659 0.00017749 344 0.28047
14.2646 0.0341926 342 54.0312
14.7875 0.000242417 456 0.383067
15.4187 0.00044093 396 0.696759
15.942 0.000358469 486 0.566454
16.5482 0.000298337 560 0.471433
17.1639 0.000313357 558 0.495167
17.8011 0.00015535 708 0.245484
18.4303 0.000123944 672 0.195856
19.1824 0.00999762 998 15.7983
19.9469 0.000305011 924 0.48198
20.6808 0.000334037 1014 0.527846
21.3842 0.000149789 1064 0.236697
22.2186 0.000238351 1434 0.376642
23.0657 9.03585e-05 1440 0.142785
23.935 0.00524518 1662 8.28844
24.8633 0.000310688 1898 0.49095
25.7971 0.000161751 2040 0.255599
26.7938 0.000226023 2378 0.357162
27.7886 0.00311601 2430 4.92393
28.8178 0.000449452 2964 0.710225
29.9415 0.000192416 3278 0.304057
31.0801 0.0001797 3618 0.283963
32.231 0.000105883 3896 0.167317
33.4697 0.00149944 4770 2.36941
34.7575 0.000152183 4902 0.24048
36.0407 0.000158105 5522 0.249839
37.3988 0.000919067 6402 1.45231
38.8321 0.000175097 7118 0.276689
40.2872 0.000143629 7634 0.226963
41.8167 0.000593183 9090 0.937348
43.399 0.000148274 9566 0.234302
45.0279 0.000113558 11034 0.179444
46.7308 0.000390565 12290 0.617172
48.5017 0.000142811 13706 0.22567
50.3097 9.78158e-05 14970 0.154569
52.197 0.000282247 17198 0.446007
54.1738 0.00010714 19016 0.169303
56.2203 0.000198718 21458 0.314015
58.3613 9.58949e-05 24186 0.151533
60.5794 0.000156439 26624 0.247204
62.8515 9.87495e-05 29594 0.156044
65.2265 0.000125878 33536 0.198913
67.6932 0.000110463 37166 0.174554
70.2489 0.000189262 41720 0.299072
72.8971 0.00030177 46280 0.476858
75.6319 0.000515356 51536 0.814367
78.4853 0.000464142 58466 0.733438
81.4754 0.000406439 65564 0.642256
84.5539 0.000363786 72080 0.574855
87.7413 0.00036822 81380 0.581862
91.0485 0.000498736 90070 0.788103
94.4801 0.000948346 101516 1.49858
98.0438 0.00120833 112736 1.90941
101.721 0.000653805 122371 1.03314
105.563 0.000458592 120908 0.724668
109.542 0.000470527 118888 0.743528
113.676 0.00035552 115424 0.561793
117.973 0.000312915 110068 0.494469
122.414 0.000360103 101516 0.569036
127.021 0.000479547 92536 0.757781
131.796 0.000744652 78532 1.1767
136.72 0.0015418 62872 2.43636
141.817 0.00114183 43009 1.80432
147.18 0.00114901 27262 1.81567
152.694 0.000551168 16264 0.870957
158.385 0.000721425 8614 1.14
164.073 0.00194504 3046 3.07355
169.186 0.00622159 550 9.83136
174.125 0.0216928 1 34.2789
