# in Mpc/h Units 
# D1 = 1 
# k P N P(z=0)
1.5708 5.08594e-12 12 5.08594e-12
2.22144 1.64183e-11 24 1.64183e-11
2.7207 1.30116e-11 16 1.30116e-11
3.14159 5.91501e-11 12 5.91501e-11
3.51241 1.29072e-10 48 1.29072e-10
3.84765 1.20613e-10 48 1.20613e-10
4.44288 9.32538e-11 24 9.32538e-11
4.71239 1.75024e-10 60 1.75024e-10
4.96729 4.08917e-10 48 4.08917e-10
5.20974 2.43513e-10 48 2.43513e-10
5.4414 4.18178e-10 16 4.18178e-10
5.66359 3.07252e-10 48 3.07252e-10
5.87738 4.25915e-10 96 4.25915e-10
6.28319 2.18764e-09 12 2.18764e-09
6.55703 7.46108e-10 168 7.46108e-10
6.84694 9.64089e-10 48 9.64089e-10
7.02481 5.26129e-10 48 5.26129e-10
7.25476 8.29051e-10 144 8.29051e-10
7.6953 1.43002e-09 48 1.43002e-09
7.96377 1.77568e-09 204 1.77568e-09
8.1621 2.59069e-09 64 2.59069e-09
8.51684 2.09939e-09 240 2.09939e-09
8.88577 1.65522e-09 24 1.65522e-09
9.15858 2.41404e-09 288 2.41404e-09
9.48256 5.24123e-09 108 5.24123e-09
9.74593 4.45634e-09 192 4.45634e-09
10.1275 4.26532e-09 336 4.26532e-09
10.5564 4.85821e-09 288 4.85821e-09
11.0536 5.8076e-09 292 5.8076e-09
11.4241 7.2794e-09 480 7.2794e-09
11.9234 9.98576e-09 384 9.98576e-09
12.3255 1.08582e-08 336 1.08582e-08
12.7651 1.34353e-08 540 1.34353e-08
13.1907 1.55747e-08 456 1.55747e-08
13.6659 1.2281e-08 688 1.2281e-08
14.2646 2.09112e-08 684 2.09112e-08
14.7875 2.18442e-08 912 2.18442e-08
15.4187 2.48212e-08 792 2.48212e-08
15.942 3.01991e-08 972 3.01991e-08
16.5482 3.28436e-08 1120 3.28436e-08
17.1639 3.67049e-08 1116 3.67049e-08
17.8011 4.56474e-08 1416 4.56474e-08
18.4303 4.71821e-08 1344 4.71821e-08
19.1824 6.23202e-08 1996 6.23202e-08
19.9469 6.12758e-08 1848 6.12758e-08
20.6808 8.15698e-08 2028 8.15698e-08
21.3842 8.29279e-08 2128 8.29279e-08
22.2186 1.12313e-07 2868 1.12313e-07
23.0657 1.17624e-07 2880 1.17624e-07
23.935 1.42052e-07 3324 1.42052e-07
24.8633 1.56794e-07 3796 1.56794e-07
25.7971 1.84079e-07 4080 1.84079e-07
26.7938 2.1884e-07 4756 2.1884e-07
27.7886 2.46351e-07 4860 2.46351e-07
28.8178 2.91594e-07 5928 2.91594e-07
29.9415 3.47142e-07 6556 3.47142e-07
31.0801 3.88617e-07 7236 3.88617e-07
32.231 4.49018e-07 7792 4.49018e-07
33.4697 5.46404e-07 9540 5.46404e-07
34.7575 5.97271e-07 9804 5.97271e-07
36.0407 7.04001e-07 11044 7.04001e-07
37.3988 8.31117e-07 12804 8.31117e-07
38.8321 9.50191e-07 14236 9.50191e-07
40.2872 1.15933e-06 15268 1.15933e-06
41.8167 1.41023e-06 18180 1.41023e-06
43.399 1.59294e-06 19132 1.59294e-06
45.0279 1.87823e-06 22068 1.87823e-06
46.7308 2.29644e-06 24580 2.29644e-06
48.5017 2.75682e-06 27412 2.75682e-06
50.3097 3.26385e-06 29940 3.26385e-06
52.197 3.78583e-06 34396 3.78583e-06
54.1738 4.73821e-06 38032 4.73821e-06
56.2203 5.74348e-06 42916 5.74348e-06
58.3613 7.03201e-06 48372 7.03201e-06
60.5794 9.2122e-06 53248 9.2122e-06
62.8515 1.13859e-05 59188 1.13859e-05
65.2265 1.47925e-05 67072 1.47925e-05
67.6932 1.92623e-05 74332 1.92623e-05
70.2489 2.55046e-05 83440 2.55046e-05
72.8971 3.41718e-05 92560 3.41718e-05
75.6319 4.48152e-05 103072 4.48152e-05
78.4853 5.9357e-05 116932 5.9357e-05
81.4754 7.9547e-05 131128 7.9547e-05
84.5539 0.000102854 144160 0.000102854
87.7413 0.00012908 162760 0.00012908
91.0485 0.000161487 180140 0.000161487
94.4801 0.000195582 203032 0.000195582
98.0438 0.000229817 225472 0.000229817
101.721 0.000252505 244742 0.000252505
105.563 0.000253697 241816 0.000253697
109.542 0.000254306 237776 0.000254306
113.676 0.000260079 230848 0.000260079
117.973 0.000262656 220136 0.000262656
122.414 0.000266725 203032 0.000266725
127.021 0.000273819 185072 0.000273819
131.796 0.000283158 157064 0.000283158
136.72 0.000297042 125744 0.000297042
141.817 0.000302201 86018 0.000302201
147.18 0.000301149 54524 0.000301149
152.694 0.00032302 32528 0.00032302
158.385 0.000368016 17228 0.000368016
164.073 0.000441619 6092 0.000441619
169.186 0.000594637 1100 0.000594637
174.125 0.0021966 2 0.0021966
