# in Mpc/h Units 
# D1 = 1 
# k P N P(z=0)
1.5708 9.13458e-13 12 9.13458e-13
2.22144 9.93032e-13 24 9.93032e-13
2.7207 2.90122e-14 16 2.90122e-14
3.14159 1.18696e-11 12 1.18696e-11
3.51241 1.93084e-11 48 1.93084e-11
3.84765 1.12897e-11 48 1.12897e-11
4.44288 8.98252e-12 24 8.98252e-12
4.71239 1.52588e-11 60 1.52588e-11
4.96729 7.28115e-11 48 7.28115e-11
5.20974 6.62109e-11 48 6.62109e-11
5.4414 2.76106e-12 16 2.76106e-12
5.66359 3.06955e-11 48 3.06955e-11
5.87738 4.14174e-11 96 4.14174e-11
6.28319 1.18087e-10 12 1.18087e-10
6.55703 1.17354e-10 168 1.17354e-10
6.84694 4.74383e-11 48 4.74383e-11
7.02481 2.51037e-10 48 2.51037e-10
7.25476 1.1303e-10 144 1.1303e-10
7.6953 1.70565e-10 48 1.70565e-10
7.96377 2.7606e-10 204 2.7606e-10
8.1621 3.24238e-10 64 3.24238e-10
8.51684 2.27248e-10 240 2.27248e-10
8.88577 1.90073e-10 24 1.90073e-10
9.15858 3.2987e-10 288 3.2987e-10
9.48256 5.92926e-10 108 5.92926e-10
9.74593 7.05489e-10 192 7.05489e-10
10.1275 4.64828e-10 336 4.64828e-10
10.5564 7.61144e-10 288 7.61144e-10
11.0536 6.0507e-10 292 6.0507e-10
11.4241 9.62341e-10 480 9.62341e-10
11.9234 9.22276e-10 384 9.22276e-10
12.3255 1.012e-09 336 1.012e-09
12.7651 1.47035e-09 540 1.47035e-09
13.1907 1.49661e-09 456 1.49661e-09
13.6659 1.59291e-09 688 1.59291e-09
14.2646 1.9261e-09 684 1.9261e-09
14.7875 2.08748e-09 912 2.08748e-09
15.4187 2.35452e-09 792 2.35452e-09
15.942 2.76031e-09 972 2.76031e-09
16.5482 2.69481e-09 1120 2.69481e-09
17.1639 3.32724e-09 1116 3.32724e-09
17.8011 3.45911e-09 1416 3.45911e-09
18.4303 3.94864e-09 1344 3.94864e-09
19.1824 5.00957e-09 1996 5.00957e-09
19.9469 4.31436e-09 1848 4.31436e-09
20.6808 6.55985e-09 2028 6.55985e-09
21.3842 5.78604e-09 2128 5.78604e-09
22.2186 7.00236e-09 2868 7.00236e-09
23.0657 6.96113e-09 2880 6.96113e-09
23.935 8.27688e-09 3324 8.27688e-09
24.8633 8.47388e-09 3796 8.47388e-09
25.7971 9.74086e-09 4080 9.74086e-09
26.7938 1.09474e-08 4756 1.09474e-08
27.7886 1.06869e-08 4860 1.06869e-08
28.8178 1.25377e-08 5928 1.25377e-08
29.9415 1.33515e-08 6556 1.33515e-08
31.0801 1.47039e-08 7236 1.47039e-08
32.231 1.58504e-08 7792 1.58504e-08
33.4697 1.74427e-08 9540 1.74427e-08
34.7575 1.98553e-08 9804 1.98553e-08
36.0407 2.11461e-08 11044 2.11461e-08
37.3988 2.41002e-08 12804 2.41002e-08
38.8321 2.57304e-08 14236 2.57304e-08
40.2872 2.9427e-08 15268 2.9427e-08
41.8167 3.30841e-08 18180 3.30841e-08
43.399 3.82264e-08 19132 3.82264e-08
45.0279 4.25344e-08 22068 4.25344e-08
46.7308 4.71804e-08 24580 4.71804e-08
48.5017 5.23323e-08 27412 5.23323e-08
50.3097 6.0373e-08 29940 6.0373e-08
52.197 6.81493e-08 34396 6.81493e-08
54.1738 7.81242e-08 38032 7.81242e-08
56.2203 9.07842e-08 42916 9.07842e-08
58.3613 1.07413e-07 48372 1.07413e-07
60.5794 1.25103e-07 53248 1.25103e-07
62.8515 1.48989e-07 59188 1.48989e-07
65.2265 1.77703e-07 67072 1.77703e-07
67.6932 2.14633e-07 74332 2.14633e-07
70.2489 2.69469e-07 83440 2.69469e-07
72.8971 3.44128e-07 92560 3.44128e-07
75.6319 4.4716e-07 103072 4.4716e-07
78.4853 6.09301e-07 116932 6.09301e-07
81.4754 8.56198e-07 131128 8.56198e-07
84.5539 1.26143e-06 144160 1.26143e-06
87.7413 1.92585e-06 162760 1.92585e-06
91.0485 2.96102e-06 180140 2.96102e-06
94.4801 4.42768e-06 203032 4.42768e-06
98.0438 6.18561e-06 225472 6.18561e-06
101.721 0.0017609 244742 0.0017609
105.563 7.011e-06 241816 7.011e-06
109.542 7.21199e-06 237776 7.21199e-06
113.676 7.62152e-06 230848 7.62152e-06
117.973 8.08205e-06 220136 8.08205e-06
122.414 8.73e-06 203032 8.73e-06
127.021 9.52957e-06 185072 9.52957e-06
131.796 1.03691e-05 157064 1.03691e-05
136.72 1.08479e-05 125744 1.08479e-05
141.817 0.0120127 86018 0.0120127
147.18 1.29865e-05 54524 1.29865e-05
152.694 1.58862e-05 32528 1.58862e-05
158.385 2.00201e-05 17228 2.00201e-05
164.073 2.12683e-05 6092 2.12683e-05
169.186 2.32442e-05 1100 2.32442e-05
174.125 460.773 2 460.773
