                          6.5M Z=0.001 VW93  
Species    Yield      MassExp     ProdFact    E-Yield    E-MassExp  E-ProdFact 
      p   -6.253E-01  3.450E+00  -7.236E-02  -6.297E-01  3.446E+00  -7.292E-02
    he3    1.767E-07  1.767E-07   0.000E+00   1.767E-07  1.767E-07   0.000E+00
    he4    5.970E-01  1.951E+00   1.586E-01   5.991E-01  1.954E+00   1.590E-01
    li7   -5.638E-09  6.944E-11  -1.915E+00  -5.638E-09  6.944E-11  -1.915E+00
    c12    2.315E-03  3.303E-03   5.240E-01   4.472E-03  5.460E-03   7.423E-01
    c13    4.083E-04  4.194E-04   1.575E+00   4.070E-04  4.181E-04   1.574E+00
    n14    2.687E-02  2.718E-02   1.952E+00   2.683E-02  2.713E-02   1.952E+00
    n15    2.855E-07  1.412E-06   9.804E-02   2.843E-07  1.411E-06   9.770E-02
    o16   -1.813E-03  9.396E-04  -4.669E-01  -1.719E-03  1.034E-03  -4.253E-01
    o17    2.970E-06  4.024E-06   5.820E-01   2.966E-06  4.019E-06   5.815E-01
    o18   -5.793E-06  7.776E-08  -1.878E+00  -5.793E-06  7.776E-08  -1.878E+00
    f19   -9.483E-08  5.688E-08  -4.261E-01  -6.667E-08  8.504E-08  -2.514E-01
   ne20    2.361E-05  5.154E-04   2.034E-02   2.615E-05  5.179E-04   2.247E-02
   ne21   -9.966E-07  2.590E-07  -6.857E-01  -8.569E-07  3.987E-07  -4.983E-01
   ne22    2.079E-04  2.474E-04   7.967E-01   2.339E-04  2.734E-04   8.401E-01
   na23   -5.099E-06  5.717E-06  -2.769E-01  -4.214E-06  6.602E-06  -2.144E-01
   mg24   -1.543E-04  4.229E-06  -1.574E+00  -1.537E-04  4.784E-06  -1.520E+00
   mg25    1.788E-04  1.997E-04   9.799E-01   1.899E-04  2.108E-04   1.003E+00
   mg26    2.159E-04  2.398E-04   1.001E+00   2.576E-04  2.816E-04   1.070E+00
   al26    1.895E-05  1.895E-05   0.000E+00   1.893E-05  1.893E-05   0.000E+00
   al27    3.309E-05  5.061E-05   4.606E-01   3.372E-05  5.124E-05   4.660E-01
   si28    1.577E-05  2.173E-04   3.270E-02   1.650E-05  2.180E-04   3.416E-02
   si29    1.346E-06  1.192E-05   5.201E-02   1.531E-06  1.210E-05   5.873E-02
   si30    2.879E-06  1.014E-05   1.450E-01   3.325E-06  1.058E-05   1.638E-01
    p31    8.636E-07  2.786E-06   1.611E-01   1.020E-06  2.943E-06   1.848E-01
    s32   -1.044E-06  1.419E-04  -3.208E-03  -1.156E-06  1.418E-04  -3.551E-03
    s33    1.208E-08  1.176E-06   4.458E-03   1.240E-08  1.176E-06   4.576E-03
    s34   -7.619E-07  5.745E-05  -5.747E-03  -8.306E-07  5.738E-05  -6.267E-03
    s35    8.830E-07  8.830E-07   0.000E+00   9.684E-07  9.684E-07   0.000E+00
   fe54   -4.033E-07  2.138E-05  -8.141E-03  -4.307E-07  2.136E-05  -8.697E-03
   fe55    8.284E-08  8.284E-08   0.000E+00   8.273E-08  8.273E-08   0.000E+00
   fe56   -4.905E-06  3.524E-04  -6.028E-03  -5.353E-06  3.520E-04  -6.581E-03
   fe57    1.642E-07  8.886E-06   8.073E-03   1.537E-07  8.875E-06   7.561E-03
   fe58    9.114E-07  2.041E-06   2.569E-01   9.249E-07  2.054E-06   2.598E-01
   fe60    1.345E-06  1.345E-06   0.000E+00   1.479E-06  1.479E-06   0.000E+00
   co59    4.055E-07  1.485E-06   1.385E-01   4.135E-07  1.493E-06   1.408E-01
   ni58   -2.566E-07  1.523E-05  -7.280E-03  -2.761E-07  1.521E-05  -7.836E-03
   ni60    8.951E-08  6.214E-06   6.275E-03   8.621E-08  6.211E-06   6.045E-03
   ni61    3.814E-06  4.084E-06   1.180E+00   4.210E-06  4.480E-06   1.220E+00
   ni62   -8.631E-07  7.316E-09  -2.076E+00  -8.631E-07  7.316E-09  -2.076E+00
      g    5.091E-07  5.249E-07   1.521E+00   5.935E-07  6.093E-07   1.586E+00
                          7.0M Z=0.001 VW93
Species    Yield      MassExp     ProdFact    E-Yield    E-MassExp  E-ProdFact 
      p   -6.277E-01  3.763E+00  -6.702E-02  -6.307E-01  3.760E+00  -6.736E-02
    he3    3.890E-08  3.890E-08   0.000E+00   3.890E-08  3.890E-08   0.000E+00
    he4    6.134E-01  2.073E+00   1.524E-01   6.148E-01  2.074E+00   1.526E-01
    li7   -5.928E-09  2.209E-10  -1.445E+00  -5.928E-09  2.209E-10  -1.445E+00
    c12    1.204E-03  2.268E-03   3.284E-01   2.683E-03  3.747E-03   5.465E-01
    c13    3.187E-04  3.307E-04   1.439E+00   3.179E-04  3.299E-04   1.438E+00
    n14    1.462E-02  1.495E-02   1.660E+00   1.460E-02  1.493E-02   1.660E+00
    n15    1.111E-07  1.325E-06   3.800E-02   1.101E-07  1.324E-06   3.768E-02
    o16   -2.021E-03  9.447E-04  -4.969E-01  -1.952E-03  1.014E-03  -4.664E-01
    o17    3.966E-06  5.101E-06   6.527E-01   3.963E-06  5.098E-06   6.524E-01
    o18   -6.247E-06  7.799E-08  -1.909E+00  -6.247E-06  7.799E-08  -1.909E+00
    f19   -1.426E-07  2.085E-08  -8.944E-01  -1.226E-07  4.085E-08  -6.023E-01
   ne20    2.200E-05  5.519E-04   1.764E-02   2.615E-05  5.560E-04   2.090E-02
   ne21   -1.212E-06  1.409E-07  -9.822E-01  -1.077E-06  2.756E-07  -6.910E-01
   ne22    6.483E-05  1.074E-04   4.019E-01   7.063E-05  1.132E-04   4.247E-01
   na23   -8.841E-06  2.813E-06  -6.174E-01  -8.365E-06  3.289E-06  -5.494E-01
   mg24   -1.673E-04  3.518E-06  -1.686E+00  -1.665E-04  4.273E-06  -1.602E+00
   mg25    1.665E-04  1.890E-04   9.236E-01   1.760E-04  1.986E-04   9.451E-01
   mg26    8.471E-05  1.105E-04   6.318E-01   1.220E-04  1.478E-04   7.582E-01
   al26    1.047E-05  1.047E-05   0.000E+00   1.046E-05  1.046E-05   0.000E+00
   al27    2.033E-05  3.921E-05   3.174E-01   2.099E-05  3.987E-05   3.247E-01
   si28    2.015E-05  2.373E-04   3.851E-02   2.078E-05  2.379E-04   3.967E-02
   si29    6.163E-07  1.201E-05   2.286E-02   7.787E-07  1.217E-05   2.870E-02
   si30    1.373E-06  9.193E-06   7.023E-02   1.721E-06  9.541E-06   8.635E-02
    p31    3.906E-07  2.462E-06   7.500E-02   4.960E-07  2.568E-06   9.321E-02
    s32   -4.937E-07  1.536E-04  -1.420E-03  -5.747E-07  1.535E-04  -1.649E-03
    s33    7.914E-09  1.262E-06   2.706E-03   9.817E-09  1.264E-06   3.360E-03
    s34   -3.907E-07  6.233E-05  -2.740E-03  -4.360E-07  6.229E-05  -3.056E-03
    s35    4.488E-07  4.488E-07   0.000E+00   5.063E-07  5.063E-07   0.000E+00
   fe54   -2.473E-07  2.323E-05  -4.626E-03  -2.657E-07  2.321E-05  -4.969E-03
   fe55    9.289E-08  9.289E-08   0.000E+00   9.282E-08  9.282E-08   0.000E+00
   fe56   -2.423E-06  3.826E-04  -2.768E-03  -2.724E-06  3.823E-04  -3.110E-03
   fe57    1.564E-07  9.553E-06   7.144E-03   1.493E-07  9.546E-06   6.822E-03
   fe58    4.469E-07  1.664E-06   1.358E-01   4.542E-07  1.671E-06   1.377E-01
   fe60    6.622E-07  6.622E-07   0.000E+00   7.554E-07  7.554E-07   0.000E+00
   co59    2.072E-07  1.370E-06   7.116E-02   2.121E-07  1.375E-06   7.273E-02
   ni58   -1.405E-07  1.655E-05  -3.698E-03  -1.536E-07  1.653E-05  -4.041E-03
   ni60    2.180E-08  6.621E-06   1.406E-03   1.661E-08  6.616E-06   1.065E-03
   ni61    2.326E-06  2.617E-06   9.546E-01   2.591E-06  2.882E-06   9.965E-01
   ni62   -9.266E-07  1.126E-08  -1.921E+00  -9.266E-07  1.126E-08  -1.921E+00
      g    2.459E-07  2.629E-07   1.188E+00   3.008E-07  3.178E-07   1.271E+00
                          7.5M Z=0.001 VW93  
 Species    Yield      MassExp     ProdFact    E-Yield   E-MassExp   E- ProdFa
      p   -6.812E-01  4.029E+00  -6.788E-02  -6.852E-01  4.025E+00  -6.830E-02
    he3    3.870E-06  3.870E-06   0.000E+00   3.870E-06  3.870E-06   0.000E+00
    he4    6.608E-01  2.226E+00   1.529E-01   6.626E-01  2.228E+00   1.533E-01
    li7    4.364E-08  5.023E-08   8.817E-01   4.364E-08  5.023E-08   8.817E-01
    c12    1.014E-03  2.156E-03   2.759E-01   3.003E-03  4.145E-03   5.598E-01
    c13    3.780E-04  3.909E-04   1.482E+00   3.770E-04  3.899E-04   1.481E+00
    n14    1.861E-02  1.896E-02   1.733E+00   1.858E-02  1.893E-02   1.733E+00
    n15    1.458E-06  2.760E-06   3.263E-01   1.457E-06  2.759E-06   3.261E-01
    o16    1.280E-04  3.309E-03   1.711E-02   2.291E-04  3.410E-03   3.018E-02
    o17    1.975E-05  2.096E-05   1.236E+00   1.973E-05  2.095E-05   1.236E+00
    o18   -6.680E-06  1.043E-07  -1.813E+00  -6.680E-06  1.043E-07  -1.813E+00
    f19   -1.594E-07  1.589E-08  -1.043E+00  -1.529E-07  2.241E-08  -8.934E-01
   ne20    2.803E-05  5.964E-04   2.088E-02   3.730E-05  6.056E-04   2.758E-02
   ne21   -1.323E-06  1.276E-07  -1.056E+00  -1.162E-06  2.893E-07  -7.003E-01
   ne22    7.655E-05  1.222E-04   4.275E-01   7.921E-05  1.249E-04   4.369E-01
   na23   -3.785E-07  1.212E-05  -1.338E-02   3.327E-07  1.283E-05   1.138E-02
   mg24   -1.704E-04  1.274E-05  -1.158E+00  -1.683E-04  1.485E-05  -1.091E+00
   mg25    1.964E-04  2.205E-04   9.602E-01   2.107E-04  2.348E-04   9.875E-01
   mg26    1.023E-04  1.300E-04   6.719E-01   1.587E-04  1.863E-04   8.283E-01
   al26    5.894E-06  5.894E-06   0.000E+00   5.885E-06  5.885E-06   0.000E+00
   al27    1.065E-05  3.090E-05   1.836E-01   1.174E-05  3.199E-05   1.985E-01
   si28    7.820E-06  2.407E-04   1.432E-02   8.770E-06  2.416E-04   1.603E-02
   si29    5.274E-07  1.274E-05   1.833E-02   7.735E-07  1.299E-05   2.664E-02
   si30    1.311E-06  9.699E-06   6.307E-02   1.871E-06  1.026E-05   8.743E-02
    p31    5.504E-07  2.772E-06   9.610E-02   7.383E-07  2.960E-06   1.246E-01
    s32   -3.703E-07  1.649E-04  -1.000E-03  -4.840E-07  1.648E-04  -1.300E-03
    s33    2.644E-08  1.372E-06   8.429E-03   3.502E-08  1.380E-06   1.114E-02
    s34   -3.120E-07  6.696E-05  -2.045E-03  -3.703E-07  6.690E-05  -2.423E-03
    s35    1.774E-06  1.774E-06   0.000E+00   1.857E-06  1.857E-06   0.000E+00
   fe54   -2.315E-07  2.495E-05  -4.038E-03  -2.560E-07  2.492E-05  -4.465E-03
   fe55    1.143E-07  1.143E-07   0.000E+00   1.142E-07  1.142E-07   0.000E+00
   fe56   -1.908E-06  4.111E-04  -2.037E-03  -2.311E-06  4.107E-04  -2.463E-03
