# Minitial =  1.00 msun, Z = 0.0200, Mfinal = 0.564 msun
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
      g      1   8.1815390E-09  3.2919932E-08  2.4738393E-08  7.5504431E-08  5.6745975E-08  1.2403737E-01
      n      1  -3.9796876E-43 -3.9796876E-43  0.0000000E+00 -9.1224530E-43  0.0000000E+00  0.0000000E+00
      p      1  -8.1048310E-03  2.9179156E-01  2.9989639E-01  6.6924673E-01  6.8791503E-01 -1.1948545E-02
      d      2   1.1862846E-18  1.1862846E-18  0.0000000E+00  2.7208363E-18  0.0000000E+00  0.0000000E+00
    he3      3   1.3540545E-04  1.3540545E-04  0.0000000E+00  3.1056299E-04  0.0000000E+00  0.0000000E+00
    he4      4   7.9379827E-03  1.3571687E-01  1.2777889E-01  3.1127724E-01  2.9310462E-01  2.6124727E-02
    li7      7   1.5897970E-09  2.4030611E-09  8.1326418E-10  5.5116081E-09  1.8655000E-09  4.7048306E-01
    be7      7   4.0740918E-12  4.0740918E-12  0.0000000E+00  9.3442476E-12  0.0000000E+00  0.0000000E+00
     b8      8   2.6669912E-27  2.6669912E-27  0.0000000E+00  6.1169523E-27  0.0000000E+00  0.0000000E+00
    c12     12  -1.7504650E-04  1.1481456E-03  1.3231921E-03  2.6333616E-03  3.0351942E-03 -6.1675999E-02
    c13     13   2.4790019E-05  4.0714811E-05  1.5924792E-05  9.3382594E-05  3.6528963E-05  4.0762857E-01
    c14     14   7.3434625E-28  7.3434625E-28  0.0000000E+00  1.6842804E-27  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   1.7964171E-04  6.6175999E-04  4.8211828E-04  1.5177982E-03  1.1059034E-03  1.3749683E-01
    n15     15  -5.1349150E-07  1.3904925E-06  1.9039840E-06  3.1892030E-06  4.3674390E-06 -1.3654470E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16  -1.7881393E-06  4.1855187E-03  4.1873069E-03  9.5998142E-03  9.6050221E-03 -2.3554852E-04
    o17     17   3.2149580E-07  2.0178913E-06  1.6963955E-06  4.6281912E-06  3.8912640E-06  7.5320609E-02
    o18     18  -4.2341981E-07  9.0335270E-06  9.4569468E-06  2.0719099E-05  2.1692746E-05 -1.9943675E-02
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19   1.8543744E-10  1.7698856E-07  1.7680313E-07  4.0593707E-07  4.0555850E-07  4.0523693E-04
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
